id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
274,2020-9-6-23-49-34-38188,4,13440,-6236,8176,-1936,-331,405
275,2020-9-6-23-49-34-38227,1,5392,-15244,-4044,-1520,-287,-288
276,2020-9-6-23-49-34-38437,2,-1648,-16368,1820,-1408,-456,-23
277,2020-9-6-23-49-34-38497,3,1660,-16548,-1888,-2096,-245,-253
278,2020-9-6-23-49-35-38691,4,13428,-6344,8416,-1904,-445,-312
279,2020-9-6-23-49-35-38731,1,4848,-15536,-4160,-1504,-562,-147
280,2020-9-6-23-49-35-38937,2,-1616,-16316,1736,-1456,-423,78
281,2020-9-6-23-49-35-39001,3,1588,-16496,-1892,-2096,-305,-254
282,2020-9-6-23-49-35-39193,4,13556,-6304,7856,-1952,101,-620
283,2020-9-6-23-49-35-39232,1,4776,-15400,-4120,-1488,-533,-406
284,2020-9-6-23-49-35-39439,2,-1680,-16492,1568,-1440,-324,181
285,2020-9-6-23-49-35-39501,3,1700,-16432,-2016,-2096,-153,92
286,2020-9-6-23-49-36-39695,4,13748,-5768,8728,-1904,268,-209
287,2020-9-6-23-49-36-39736,1,5100,-15456,-4136,-1504,-640,375
288,2020-9-6-23-49-36-39942,2,-1688,-16408,1776,-1424,87,203
289,2020-9-6-23-49-36-40025,3,1560,-16432,-1752,-2112,-184,-53
290,2020-9-6-23-49-36-40199,4,13548,-5288,9008,-1936,-182,-3341
291,2020-9-6-23-49-36-40239,1,5328,-15320,-4136,-1504,-700,-452
292,2020-9-6-23-49-36-40445,2,-1780,-16224,2056,-1424,-460,72
293,2020-9-6-23-49-36-40506,3,1800,-16516,-1868,-2080,-204,-145
294,2020-9-6-23-49-37-40700,4,13708,-5784,8312,-1904,740,-251
295,2020-9-6-23-49-37-40741,1,4924,-15540,-4048,-1472,-969,-244
296,2020-9-6-23-49-37-40947,2,-1844,-16356,1956,-1392,-388,138
297,2020-9-6-23-49-37-41012,3,1812,-16560,-1712,-2112,-252,-145
298,2020-9-6-23-49-37-41203,4,13448,-5696,8804,-1904,-305,561
299,2020-9-6-23-49-37-41244,1,5484,-15712,-3836,-1520,-764,-105
300,2020-9-6-23-49-37-41450,2,-1804,-16328,2044,-1408,-348,117
301,2020-9-6-23-49-37-41513,3,1684,-16484,-1904,-2096,-282,-17
302,2020-9-6-23-49-38-41705,4,13656,-5904,7952,-1936,-133,273
303,2020-9-6-23-49-38-41746,1,5172,-15564,-3876,-1504,-674,-163
304,2020-9-6-23-49-38-41953,2,-1752,-16420,1800,-1376,-404,-277
305,2020-9-6-23-49-38-42075,3,1880,-16708,-1716,-2144,-354,-419
306,2020-9-6-23-49-38-42207,4,13608,-5760,8036,-1920,-429,-1169
307,2020-9-6-23-49-38-42248,1,5348,-16092,-2532,-1504,-599,-1018
308,2020-9-6-23-49-38-42454,2,-1708,-16400,1900,-1424,-342,258
309,2020-9-6-23-49-38-42519,3,1524,-16344,-2076,-2112,-152,88
310,2020-9-6-23-49-39-42710,4,13464,-5860,8476,-1936,365,-1463
311,2020-9-6-23-49-39-42752,1,5960,-15132,-3596,-1472,-854,55
312,2020-9-6-23-49-39-42959,2,-1620,-16416,2196,-1424,-345,75
313,2020-9-6-23-49-39-43020,3,1392,-16516,-1988,-2096,-488,-302
314,2020-9-6-23-49-39-43217,4,13496,-6012,8136,-1904,-186,521
315,2020-9-6-23-49-39-43254,1,5556,-14956,-3868,-1520,-103,-357
316,2020-9-6-23-49-39-43495,2,-1576,-16444,1572,-1440,-619,167
317,2020-9-6-23-49-39-43523,3,2352,-16636,-2056,-2064,-476,-241
318,2020-9-6-23-49-40-43716,4,12888,-6052,9580,-1936,-865,445
319,2020-9-6-23-49-40-43757,1,5768,-15440,-3760,-1488,-955,-878
320,2020-9-6-23-49-40-43963,2,-1720,-16408,2008,-1408,260,-333
321,2020-9-6-23-49-40-44025,3,2276,-16344,-2548,-2096,-967,-508
322,2020-9-6-23-49-40-44219,4,13004,-5692,9728,-1952,-58,-707
323,2020-9-6-23-49-40-44260,1,7736,-17512,-5348,-1520,184,4010
324,2020-9-6-23-49-40-44465,2,-1816,-16056,2836,-1408,20,612
325,2020-9-6-23-49-40-44529,3,2900,-16036,-2760,-2112,-465,-139
326,2020-9-6-23-49-41-44722,4,13532,-5432,8920,-1920,444,450
327,2020-9-6-23-49-41-44762,1,11604,-18852,-4540,-1488,6562,16502
328,2020-9-6-23-49-41-44968,2,-1396,-16264,2572,-1424,-804,255
329,2020-9-6-23-49-41-45030,3,2248,-16516,-1840,-2080,172,258
330,2020-9-6-23-49-41-45226,4,13712,-5388,8580,-1920,-660,-812
331,2020-9-6-23-49-41-45264,1,8656,-13564,-6240,-1504,-828,-189
332,2020-9-6-23-49-41-45470,2,-1552,-16516,2144,-1424,-421,-46
333,2020-9-6-23-49-41-45541,3,2088,-16316,-1904,-2112,-380,-66
334,2020-9-6-23-49-42-45726,4,13296,-5548,8696,-1904,-360,1791
335,2020-9-6-23-49-42-45772,1,8764,-13384,-6660,-1488,-865,-242
336,2020-9-6-23-49-42-45974,2,-1348,-16240,2300,-1424,-509,316
337,2020-9-6-23-49-42-46036,3,2100,-16400,-2244,-2096,-344,12
338,2020-9-6-23-49-42-46228,4,13340,-5852,8992,-1920,-1476,-2869
339,2020-9-6-23-49-42-46269,1,8696,-13676,-6964,-1488,-669,212
340,2020-9-6-23-49-42-46477,2,-2156,-16112,1372,-1392,971,-425
341,2020-9-6-23-49-42-46539,3,-276,-16688,3784,-2112,-4455,-340
342,2020-9-6-23-49-43-46732,4,8896,5124,8272,-1920,32767,15069
343,2020-9-6-23-49-43-46773,1,7452,-13336,-8144,-1504,-3876,-2412
344,2020-9-6-23-49-43-46978,2,544,-16516,2784,-1440,-1218,283
345,2020-9-6-23-49-43-47040,3,-1456,-16280,-2724,-2128,-1528,-719
346,2020-9-6-23-49-43-47234,4,8688,6384,13368,-1904,9986,2528
347,2020-9-6-23-49-43-47275,1,7520,-11888,-10904,-1552,-725,3219
348,2020-9-6-23-49-43-47480,2,2036,-17044,524,-1408,-386,-68
349,2020-9-6-23-49-43-47542,3,-936,-16348,-2680,-2112,820,-267
350,2020-9-6-23-49-44-47741,4,12392,-1088,14568,-1904,-29022,-8369
351,2020-9-6-23-49-44-47786,1,8308,-11556,-11024,-1488,3205,564
352,2020-9-6-23-49-44-47982,2,-472,-16088,2624,-1408,783,-818
353,2020-9-6-23-49-44-48049,3,2124,-16076,-3052,-2080,-190,1653
354,2020-9-6-23-49-44-48239,4,13928,-5220,8200,-1904,369,2100
355,2020-9-6-23-49-44-48280,1,9584,-12392,-7832,-1488,2455,246
356,2020-9-6-23-49-44-48486,2,-1300,-16212,2712,-1424,-843,315
357,2020-9-6-23-49-44-48548,3,2556,-16196,-2876,-2112,74,-388
358,2020-9-6-23-49-45-48742,4,13840,-5340,8272,-1904,-231,601
359,2020-9-6-23-49-45-48782,1,9840,-12948,-6420,-1520,-124,-453
360,2020-9-6-23-49-45-48987,2,-1932,-16360,1824,-1424,-1020,256
361,2020-9-6-23-49-45-49051,3,2680,-16344,-2588,-2096,-71,-606
362,2020-9-6-23-49-45-49244,4,13208,-5664,9476,-1920,-271,2443
363,2020-9-6-23-49-45-49284,1,9804,-13216,-5704,-1536,-497,-32
364,2020-9-6-23-49-45-49489,2,-2008,-16308,1528,-1392,-430,-76
365,2020-9-6-23-49-45-49552,3,2752,-16320,-2592,-2112,-303,-184
366,2020-9-6-23-49-46-49747,4,13672,-5176,8116,-1904,-772,70
367,2020-9-6-23-49-46-49787,1,9548,-13428,-5864,-1504,-649,244
368,2020-9-6-23-49-46-49992,2,-1968,-16328,1584,-1424,-313,115
369,2020-9-6-23-49-46-50057,3,2632,-16296,-2432,-2064,-351,-78
370,2020-9-6-23-49-46-50249,4,13256,-5520,8828,-1936,-413,705
371,2020-9-6-23-49-46-50289,1,10000,-13232,-5596,-1488,-629,118
372,2020-9-6-23-49-46-50494,2,-1796,-16400,1724,-1408,-434,52
373,2020-9-6-23-49-46-50556,3,2544,-16224,-2712,-2112,-374,-181
374,2020-9-6-23-49-47-50751,4,13324,-5336,9312,-1952,-840,-201
375,2020-9-6-23-49-47-50796,1,10228,-13260,-4376,-1504,-968,-467
376,2020-9-6-23-49-47-50997,2,-1740,-16420,1728,-1440,-326,186
377,2020-9-6-23-49-47-51059,3,2320,-16384,-2476,-2096,-258,25
378,2020-9-6-23-49-47-51253,4,13108,-5608,9288,-1904,-355,-210
379,2020-9-6-23-49-47-51295,1,9752,-13548,-4580,-1536,-2672,-567
380,2020-9-6-23-49-47-51499,2,-2056,-16344,1060,-1408,-290,91
381,2020-9-6-23-49-47-51562,3,-2084,-16872,4132,-2080,-4366,8203
382,2020-9-6-23-49-48-51756,4,9608,-17592,7620,-1936,-1380,10794
383,2020-9-6-23-49-48-51799,1,-3772,-12348,-21816,-1536,-19140,-28989
384,2020-9-6-23-49-48-52002,2,-396,-16080,-840,-1408,-3416,2782
385,2020-9-6-23-49-48-52064,3,-4560,-16464,240,-2112,2673,3199
386,2020-9-6-23-49-48-52258,4,16080,-10812,2444,-1888,1038,-16304
387,2020-9-6-23-49-48-52298,1,3104,8820,-21852,-1504,-22423,27210
388,2020-9-6-23-49-48-52505,2,2744,-17188,-4288,-1408,2725,11261
389,2020-9-6-23-49-48-52567,3,-1620,-15692,-4092,-2064,5195,831
390,2020-9-6-23-49-49-52761,4,15940,-5444,-6288,-1904,-11981,-17659
