id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
803,2020-9-7-0-6-16-134944,1,17452,1400,-10996,-1392,-12577,-11661
804,2020-9-7-0-6-16-134949,4,15704,-260,5940,-2560,303,1112
805,2020-9-7-0-6-16-135140,2,-688,-21368,1896,-1200,-1825,-898
806,2020-9-7-0-6-16-135206,3,-7152,-14472,2324,-2080,-2998,7941
807,2020-9-7-0-6-17-135445,1,10884,-496,-13060,-1360,388,4963
808,2020-9-7-0-6-17-135450,4,16288,-784,4192,-2560,-858,-1959
809,2020-9-7-0-6-17-135638,2,16,-17124,1636,-1184,-515,843
810,2020-9-7-0-6-17-135709,3,-10568,-12960,-456,-2080,-770,-2417
811,2020-9-7-0-6-17-135947,1,15420,-2076,-16228,-1376,-4406,-3574
812,2020-9-7-0-6-17-135953,4,16016,208,3576,-2512,334,-453
813,2020-9-7-0-6-17-136142,2,-1684,-16380,2644,-1216,211,773
814,2020-9-7-0-6-17-136209,3,-10196,-12484,-104,-2064,193,-62
815,2020-9-7-0-6-18-136450,1,3988,2224,-3924,-1360,-17338,22107
816,2020-9-7-0-6-18-136455,4,16220,-240,3820,-2528,-401,-434
817,2020-9-7-0-6-18-136643,2,-1000,-16524,1696,-1232,-1906,-250
818,2020-9-7-0-6-18-136712,3,-10564,-12156,-1100,-2096,-2517,-685
819,2020-9-7-0-6-18-136951,1,-328,-5264,-32768,-1408,12355,-32768
820,2020-9-7-0-6-18-136958,4,16252,-736,4196,-2528,201,646
821,2020-9-7-0-6-18-137144,2,372,-16516,440,-1216,-572,66
822,2020-9-7-0-6-18-137213,3,-10968,-11788,-2016,-2064,-142,-3
823,2020-9-7-0-6-19-137453,1,7696,1040,12804,-1392,-6395,21611
824,2020-9-7-0-6-19-137462,4,16284,-896,4800,-2496,-73,418
825,2020-9-7-0-6-19-137646,2,-288,-16600,1152,-1168,534,432
826,2020-9-7-0-6-19-137715,3,-10772,-12164,-1320,-2096,1247,184
827,2020-9-7-0-6-19-137956,1,-168,6452,-32768,-1424,-6755,14547
828,2020-9-7-0-6-19-137961,4,14628,-1748,6252,-2528,3495,-316
829,2020-9-7-0-6-19-138149,2,-1320,-16376,2160,-1200,301,489
830,2020-9-7-0-6-19-138217,3,-10208,-12432,-120,-2096,520,171
831,2020-9-7-0-6-20-138457,1,6060,2368,-22232,-1376,7526,-3091
832,2020-9-7-0-6-20-138462,4,13120,188,1604,-2528,-5379,6221
833,2020-9-7-0-6-20-138653,2,-1316,-16332,2492,-1200,-575,-91
834,2020-9-7-0-6-20-138720,3,-10276,-12452,-336,-2064,-255,-73
835,2020-9-7-0-6-20-138959,1,72,2996,-32768,-1344,-3977,-8192
836,2020-9-7-0-6-20-138965,4,15844,-852,4424,-2528,-654,134
837,2020-9-7-0-6-20-139152,2,-1276,-16352,2212,-1216,-597,108
838,2020-9-7-0-6-20-139221,3,-10380,-12332,-312,-2080,-482,-49
839,2020-9-7-0-6-21-139461,1,6420,5972,7960,-1328,1797,14018
840,2020-9-7-0-6-21-139467,4,16336,-640,3676,-2528,-445,-153
841,2020-9-7-0-6-21-139656,2,-1472,-16300,2264,-1200,-312,95
842,2020-9-7-0-6-21-139723,3,-10400,-12332,-528,-2048,-90,-36
843,2020-9-7-0-6-21-139964,1,2920,4024,-24792,-1392,-22511,9101
844,2020-9-7-0-6-21-139971,4,15992,-8,4588,-2544,-252,642
845,2020-9-7-0-6-21-140156,2,-1284,-16364,2100,-1200,-273,-42
846,2020-9-7-0-6-21-140226,3,-10388,-12400,-464,-2064,-375,-117
847,2020-9-7-0-6-22-140466,1,9624,-7936,-22224,-1376,19883,-32768
848,2020-9-7-0-6-22-140470,4,16232,-592,4512,-2544,-85,741
849,2020-9-7-0-6-22-140659,2,-1448,-16236,2412,-1184,-414,300
850,2020-9-7-0-6-22-140726,3,-10320,-12220,-152,-2064,-316,-12
851,2020-9-7-0-6-22-140967,1,5884,2764,6600,-1360,-1280,21696
852,2020-9-7-0-6-22-140972,4,16284,-824,4048,-2560,-350,-457
853,2020-9-7-0-6-22-141160,2,-1292,-16432,2288,-1232,-255,224
854,2020-9-7-0-6-22-141229,3,-10460,-12348,-588,-2048,-100,-14
855,2020-9-7-0-6-23-141469,1,-468,3748,-32476,-1344,-15563,6559
856,2020-9-7-0-6-23-141475,4,15372,-728,3696,-2496,-989,861
857,2020-9-7-0-6-23-141664,2,-1392,-16140,2688,-1184,205,2627
858,2020-9-7-0-6-23-141730,3,-10344,-12332,-404,-2080,-353,-118
859,2020-9-7-0-6-23-141971,1,3312,7272,4608,-1360,16776,-385
860,2020-9-7-0-6-23-141976,4,16104,-472,4596,-2544,-271,408
861,2020-9-7-0-6-23-142164,2,-1224,-16412,2648,-1200,-624,-342
862,2020-9-7-0-6-23-142234,3,-10304,-12432,-416,-2064,-194,-87
