id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
807,2020-9-6-0-54-50-105357,1,14684,2652,-10324,-3008,-795,-80
808,2020-9-6-0-54-51-105440,3,-8172,-9292,9196,-3872,-294,-34
809,2020-9-6-0-54-51-105696,4,14788,1556,6592,-3568,-4,4457
810,2020-9-6-0-54-51-105807,2,-11632,-9008,-6332,-3360,-403,90
811,2020-9-6-0-54-51-105858,1,14740,2572,-10416,-2992,-681,125
812,2020-9-6-0-54-51-105941,3,-8212,-9372,8992,-3904,-303,20
813,2020-9-6-0-54-51-106349,4,16792,1160,4244,-3600,151,-4541
814,2020-9-6-0-54-52-106383,2,-11700,-8960,-6476,-3376,-363,78
815,2020-9-6-0-54-52-106389,1,14768,2500,-9892,-2944,-597,-16
816,2020-9-6-0-54-52-106448,3,-8016,-9300,9080,-3904,-301,-137
817,2020-9-6-0-54-52-106701,4,14876,2224,7592,-3632,-727,407
818,2020-9-6-0-54-52-106813,2,-11592,-9024,-6456,-3376,-444,54
819,2020-9-6-0-54-52-106965,1,14760,2464,-10192,-2960,-704,14
820,2020-9-6-0-54-52-106973,3,-8212,-9320,9108,-3904,-281,-85
821,2020-9-6-0-54-52-107208,4,15092,1668,6824,-3600,-352,-585
822,2020-9-6-0-54-52-107327,2,-11704,-8992,-6356,-3376,-383,-17
823,2020-9-6-0-54-52-107363,1,14688,2584,-10280,-2960,-679,-103
824,2020-9-6-0-54-53-107447,3,-8112,-9256,9112,-3872,-241,-86
825,2020-9-6-0-54-53-107705,4,15380,1512,6580,-3600,-327,-77
826,2020-9-6-0-54-53-107817,2,-11712,-8996,-6228,-3376,-387,24
827,2020-9-6-0-54-53-107867,1,14572,2416,-10340,-2944,-691,55
828,2020-9-6-0-54-53-107963,3,-8252,-9188,9168,-3904,-320,-129
829,2020-9-6-0-54-53-108208,4,15240,1704,6764,-3584,-486,93
830,2020-9-6-0-54-53-108319,2,-11712,-8960,-6388,-3376,-391,36
831,2020-9-6-0-54-54-108368,1,14544,2572,-10304,-2992,-719,-184
832,2020-9-6-0-54-54-108452,3,-8144,-9264,9136,-3872,-266,-122
833,2020-9-6-0-54-54-108709,4,15200,1860,6744,-3552,-396,-111
834,2020-9-6-0-54-54-108820,2,-11644,-8956,-6236,-3376,-400,-16
835,2020-9-6-0-54-54-108874,1,14700,2552,-10276,-2992,-708,-3
836,2020-9-6-0-54-54-108967,3,-8132,-9288,9180,-3904,-257,-157
837,2020-9-6-0-54-54-109214,4,17584,6432,16932,-3584,26614,6417
838,2020-9-6-0-54-54-109322,2,-11504,-9072,-6556,-3376,-515,70
839,2020-9-6-0-54-55-109372,1,14796,1732,-10372,-2976,-567,18
840,2020-9-6-0-54-55-109455,3,-8100,-9236,9228,-3888,-302,-72
841,2020-9-6-0-54-55-109717,4,5756,11540,-10000,-3552,127,-2500
842,2020-9-6-0-54-55-109824,2,-11680,-9008,-6412,-3360,-370,-6
843,2020-9-6-0-54-55-109875,1,14492,1952,-10952,-2992,-639,127
844,2020-9-6-0-54-55-109957,3,-8224,-9348,9148,-3888,-200,-91
845,2020-9-6-0-54-55-110215,4,6444,10388,-7128,-3584,-22,3294
846,2020-9-6-0-54-55-110325,2,-11748,-8892,-6544,-3392,-456,24
847,2020-9-6-0-54-56-110376,1,14464,2196,-10440,-2976,-1014,-149
848,2020-9-6-0-54-56-110458,3,-8180,-9208,9104,-3888,-169,15
849,2020-9-6-0-54-56-110720,4,10444,6976,11928,-3584,-30325,11052
850,2020-9-6-0-54-56-110827,2,-11584,-8904,-6388,-3360,-163,131
851,2020-9-6-0-54-56-110880,1,14296,2304,-10592,-2944,-860,-248
852,2020-9-6-0-54-56-110961,3,-8212,-9384,8992,-3888,-401,-259
853,2020-9-6-0-54-56-111220,4,16164,1400,4908,-3600,-1707,-1298
854,2020-9-6-0-54-56-111330,2,-11712,-8956,-6400,-3360,-360,6
855,2020-9-6-0-54-57-111380,1,14620,2292,-10316,-2944,-823,9
856,2020-9-6-0-54-57-111469,3,-8208,-9240,9072,-3872,-295,-111
857,2020-9-6-0-54-57-111722,4,15152,1696,7068,-3584,-349,343
858,2020-9-6-0-54-57-111832,2,-11716,-8916,-6356,-3360,-415,14
859,2020-9-6-0-54-57-111882,1,14660,2488,-10328,-2976,-727,149
860,2020-9-6-0-54-57-111968,3,-8276,-9276,9132,-3872,-318,-34
861,2020-9-6-0-54-57-112235,4,15068,1816,7136,-3568,-255,11
862,2020-9-6-0-54-57-112334,2,-11636,-8920,-6464,-3360,-414,45
863,2020-9-6-0-54-58-112384,1,14728,2452,-10280,-2976,-700,-145
864,2020-9-6-0-54-58-112467,3,-8304,-9264,9164,-3856,-238,-108
865,2020-9-6-0-54-58-112728,4,14964,1776,7168,-3600,-219,-24
866,2020-9-6-0-54-58-112836,2,-11672,-8940,-6460,-3392,-426,55
867,2020-9-6-0-54-58-112885,1,14664,2440,-10508,-2992,-820,171
868,2020-9-6-0-54-58-112972,3,-8228,-9316,9232,-3888,-320,-94
869,2020-9-6-0-54-58-113226,4,15144,1652,7180,-3584,-318,-27
870,2020-9-6-0-54-58-113338,2,-11664,-9048,-6388,-3376,-384,45
871,2020-9-6-0-54-59-113388,1,14644,2436,-10456,-3008,-673,-117
872,2020-9-6-0-54-59-113472,3,-8148,-9300,9060,-3872,-280,-85
873,2020-9-6-0-54-59-113729,4,15032,1784,7324,-3584,-340,48
874,2020-9-6-0-54-59-113841,2,-11664,-8916,-6504,-3376,-417,42
875,2020-9-6-0-54-59-113891,1,14756,2352,-10320,-2992,-650,201
876,2020-9-6-0-54-59-113974,3,-8244,-9380,9156,-3872,-270,-47
877,2020-9-6-0-54-59-114235,4,14992,1788,7264,-3552,-277,-25
878,2020-9-6-0-54-59-114344,2,-11716,-9072,-6396,-3360,-394,64
879,2020-9-6-0-55-0-114392,1,14740,2400,-10288,-2976,-650,-23
880,2020-9-6-0-55-0-114476,3,-8272,-9248,9060,-3872,-245,-69
881,2020-9-6-0-55-0-114733,4,15124,2016,7216,-3568,-376,-15
882,2020-9-6-0-55-0-114846,2,-11816,-8952,-6408,-3392,-437,47
883,2020-9-6-0-55-0-114894,1,14680,2328,-10232,-2992,-661,157
884,2020-9-6-0-55-0-114979,3,-8196,-9240,9076,-3904,-297,-86
885,2020-9-6-0-55-0-115253,4,14920,1920,7492,-3584,-393,-165
886,2020-9-6-0-55-0-115359,2,-11740,-8996,-6408,-3376,-364,76
887,2020-9-6-0-55-1-115395,1,14732,2344,-10352,-2960,-657,15
888,2020-9-6-0-55-1-115488,3,-8240,-9348,9088,-3888,-305,-152
889,2020-9-6-0-55-1-115738,4,15012,1936,7400,-3568,-373,-39
890,2020-9-6-0-55-1-115850,2,-11660,-8996,-6336,-3376,-388,91
