id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
189,2020-9-6-1-8-43-27681,2,-1176,-13456,-1732,-3472,-3945,722
190,2020-9-6-1-8-43-27758,4,-752,-8192,14884,-3840,-9460,24529
191,2020-9-6-1-8-43-27853,3,-1604,-16240,-2728,-4032,-3233,-1765
192,2020-9-6-1-8-43-28160,1,14896,-9724,-3552,-3424,4492,3074
193,2020-9-6-1-8-43-28180,2,-1116,-16924,-3712,-3440,1599,3445
194,2020-9-6-1-8-43-28260,4,-2968,-2864,15296,-3872,1316,6734
195,2020-9-6-1-8-44-28357,3,-13756,-13996,13872,-4096,3573,14627
196,2020-9-6-1-8-44-28662,1,6412,-16884,-7632,-3440,-13346,2750
197,2020-9-6-1-8-44-28684,2,-1664,-14924,2048,-3424,-3090,-572
198,2020-9-6-1-8-44-28762,4,-1824,-10132,8764,-3856,-137,-4915
199,2020-9-6-1-8-44-28860,3,-748,-16128,-2640,-4048,2485,1599
200,2020-9-6-1-8-44-29170,1,11020,-8100,-11832,-3408,357,-6095
201,2020-9-6-1-8-44-29206,2,-1884,-15892,36,-3424,-759,-1131
202,2020-9-6-1-8-44-29266,4,632,-2436,10048,-3856,-3282,3769
203,2020-9-6-1-8-45-29361,3,6824,-14772,3424,-4064,-5847,508
204,2020-9-6-1-8-45-29666,1,3952,-13984,-8716,-3392,18937,18630
205,2020-9-6-1-8-45-29687,2,-1048,-17416,-972,-3424,1542,4563
206,2020-9-6-1-8-45-29767,4,-5448,1300,14728,-3872,-7926,20252
207,2020-9-6-1-8-45-29861,3,-392,-19228,-4672,-4080,4481,274
208,2020-9-6-1-8-45-30166,1,-3724,-9100,-4744,-3408,5939,1811
209,2020-9-6-1-8-45-30189,2,-5512,-15828,-152,-3424,-7024,22705
210,2020-9-6-1-8-45-30269,4,-3236,-11328,5560,-3888,4159,3475
211,2020-9-6-1-8-46-30364,3,-1356,-19640,-2844,-4096,12401,840
212,2020-9-6-1-8-46-30669,1,-7360,-15392,-128,-3424,15507,-2271
213,2020-9-6-1-8-46-30694,2,-408,-17212,-1076,-3440,4949,7116
214,2020-9-6-1-8-46-30770,4,72,-9340,7808,-3856,-18202,22962
215,2020-9-6-1-8-46-30869,3,-3780,-18520,5968,-4096,8724,1271
216,2020-9-6-1-8-46-31172,1,-15992,-11856,-908,-3408,-1126,8413
217,2020-9-6-1-8-46-31196,2,-11812,-13844,-8192,-3440,-8756,4340
218,2020-9-6-1-8-46-31271,4,568,-16684,6292,-3904,-241,8183
219,2020-9-6-1-8-47-31368,3,-1936,-15800,-2480,-4080,-1378,2005
220,2020-9-6-1-8-47-31686,1,-10904,-12240,-4064,-3408,8677,-3108
221,2020-9-6-1-8-47-31698,2,-5836,-14192,-424,-3424,4591,272
222,2020-9-6-1-8-47-31778,4,-2180,-13700,6772,-3904,-6888,11370
223,2020-9-6-1-8-47-31869,3,-12964,-11676,-4684,-4096,-12617,22332
224,2020-9-6-1-8-47-32175,1,-19384,-15056,1988,-3456,-12689,14083
225,2020-9-6-1-8-47-32197,2,3528,-18972,4020,-3424,-9160,3054
226,2020-9-6-1-8-47-32275,4,-532,-18312,7408,-3888,3558,967
227,2020-9-6-1-8-48-32375,3,-1772,-17196,-1960,-4080,1845,-1461
228,2020-9-6-1-8-48-32677,1,-8268,-10040,-11520,-3440,-4147,-1476
229,2020-9-6-1-8-48-32701,2,-13104,-13808,-6748,-3472,611,-12156
230,2020-9-6-1-8-48-32778,4,3372,-12676,13912,-3872,8639,-6392
231,2020-9-6-1-8-48-32873,3,-1448,-27652,2200,-4064,17347,-8767
232,2020-9-6-1-8-48-33179,1,-7396,-8880,-13628,-3424,-2365,-5069
233,2020-9-6-1-8-48-33203,2,-1864,-17132,-264,-3440,-1272,-231
234,2020-9-6-1-8-48-33281,4,3060,-9396,14520,-3904,-1183,-2574
235,2020-9-6-1-8-49-33379,3,15604,-23648,-10848,-4048,-8808,-32768
236,2020-9-6-1-8-49-33680,1,-5124,-13544,-2880,-3408,5268,-21940
237,2020-9-6-1-8-49-33703,2,-12552,-2900,-10168,-3440,4337,5210
238,2020-9-6-1-8-49-33782,4,-2360,-892,21304,-3888,-6814,-12271
239,2020-9-6-1-8-49-33878,3,-1860,-15476,-532,-4064,-527,-4217
240,2020-9-6-1-8-49-34182,1,-7424,-8556,-5820,-3456,3840,-7151
241,2020-9-6-1-8-49-34207,2,-10472,-24644,3472,-3424,18932,-27132
242,2020-9-6-1-8-49-34282,4,7496,-8748,17180,-3904,-8678,-602
243,2020-9-6-1-8-50-34380,3,-272,-17448,-1096,-4080,2213,-3354
244,2020-9-6-1-8-50-34685,1,1396,-8776,-15356,-3424,4629,4216
245,2020-9-6-1-8-50-34706,2,-88,-16600,-1796,-3440,2688,102
246,2020-9-6-1-8-50-34786,4,2576,-10372,14752,-3904,-10974,3168
247,2020-9-6-1-8-50-34881,3,-7788,-32768,6460,-4064,-2125,32767
248,2020-9-6-1-8-50-35186,1,-7884,-9204,-5320,-3456,-1840,-1612
249,2020-9-6-1-8-50-35212,2,-20160,-13736,27732,-3440,5757,-15676
250,2020-9-6-1-8-50-35288,4,-192,-20544,3620,-3904,-2666,-191
251,2020-9-6-1-8-51-35384,3,7288,-15052,3360,-4064,-14517,-11875
252,2020-9-6-1-8-51-35690,1,-220,-12920,-7624,-3456,-3026,-7749
253,2020-9-6-1-8-51-35710,2,552,-16920,-2592,-3440,2796,154
254,2020-9-6-1-8-51-35789,4,-388,1916,12680,-3936,10855,-16278
255,2020-9-6-1-8-51-35884,3,-3584,-16024,-5164,-4032,6106,622
256,2020-9-6-1-8-51-36191,1,-7344,-17924,-9224,-3440,-2554,2483
257,2020-9-6-1-8-51-36214,2,1384,-17156,368,-3440,-3317,4218
258,2020-9-6-1-8-51-36293,4,-1768,-15468,7484,-3904,-143,1890
259,2020-9-6-1-8-52-36386,3,-60,-15052,-3864,-4080,-8919,725
260,2020-9-6-1-8-52-36692,1,-3288,-6484,-10688,-3440,-1999,3792
261,2020-9-6-1-8-52-36715,2,-1588,-17752,-2516,-3408,1709,-498
262,2020-9-6-1-8-52-36792,4,788,-9832,11928,-3904,-2085,4184
263,2020-9-6-1-8-52-36891,3,3652,-16444,-10000,-4096,4007,-5133
264,2020-9-6-1-8-52-37195,1,-512,-15076,-16168,-3408,-3218,-8417
265,2020-9-6-1-8-52-37216,2,-824,-16696,208,-3472,-3239,-1640
266,2020-9-6-1-8-52-37298,4,-1884,-1100,32767,-3936,7833,-13163
267,2020-9-6-1-8-53-37390,3,1364,-14768,-3024,-4080,1896,5232
268,2020-9-6-1-8-53-37699,1,-9808,-8580,-15776,-3456,20673,-596
269,2020-9-6-1-8-53-37718,2,4208,-15612,-8108,-3424,-369,-2507
270,2020-9-6-1-8-53-37799,4,3096,-12852,14620,-3952,-16794,10742
271,2020-9-6-1-8-53-37904,3,-324,-16336,-2468,-4064,-2443,520
272,2020-9-6-1-8-53-38201,1,-17276,-11092,-5820,-3472,11738,-8873
273,2020-9-6-1-8-53-38220,2,3592,-27544,-648,-3408,4293,-6054
274,2020-9-6-1-8-54-38322,4,-6332,-25240,11776,-3904,-20449,-10427
275,2020-9-6-1-8-54-38396,3,688,-12364,-1024,-4064,-3562,-6703
276,2020-9-6-1-8-54-38700,1,2464,-17764,-15048,-3440,-9027,-3736
277,2020-9-6-1-8-54-38721,2,756,-16156,-2352,-3424,1506,-3479
278,2020-9-6-1-8-54-38800,4,-2620,-32768,8644,-3936,22007,-24444
279,2020-9-6-1-8-54-38896,3,-3336,-16240,164,-4064,3647,-188
280,2020-9-6-1-8-54-39208,1,-6540,-16796,-10104,-3424,-6561,8060
281,2020-9-6-1-8-54-39225,2,-816,-15420,-1496,-3440,-2141,3030
282,2020-9-6-1-8-54-39304,4,604,-18348,3932,-3936,10284,960
283,2020-9-6-1-8-55-39398,3,-2608,-15936,-988,-4064,-3814,1140
284,2020-9-6-1-8-55-39705,1,-4236,-7716,-10976,-3440,-2807,555
285,2020-9-6-1-8-55-39726,2,-984,-17212,-2156,-3440,3131,2961
286,2020-9-6-1-8-55-39804,4,1792,-9912,10944,-3904,-722,2475
287,2020-9-6-1-8-55-39901,3,-184,-13516,4296,-4048,1611,4522
288,2020-9-6-1-8-55-40211,1,-1548,-18320,-16464,-3424,-2995,-5244
289,2020-9-6-1-8-55-40230,2,-1088,-17032,-428,-3424,-1733,-26
290,2020-9-6-1-8-55-40308,4,-2316,-28176,32767,-3904,32767,-32768
291,2020-9-6-1-8-56-40405,3,848,-16376,-4100,-4048,279,-2314
292,2020-9-6-1-8-56-40708,1,-10832,-6884,-14312,-3472,23115,158
293,2020-9-6-1-8-56-40732,2,4424,-16652,-4980,-3408,1478,-4066
294,2020-9-6-1-8-56-40811,4,4632,-14240,13476,-3920,-18000,9790
295,2020-9-6-1-8-56-40905,3,-172,-16512,-2756,-4048,-3229,3125
296,2020-9-6-1-8-56-41216,1,-15052,-13816,-10640,-3456,12223,-6596
297,2020-9-6-1-8-56-41234,2,-3788,-16012,-1892,-3424,2124,-4425
298,2020-9-6-1-8-56-41311,4,204,-16792,5968,-3952,-12682,4857
299,2020-9-6-1-8-57-41406,3,5036,-11004,-13456,-4048,-11279,-9949
300,2020-9-6-1-8-57-41712,1,13156,-18544,-29888,-3440,-14405,660
301,2020-9-6-1-8-57-41733,2,840,-15816,556,-3456,371,-2782
302,2020-9-6-1-8-57-41816,4,-3764,-32768,-12036,-3952,22610,-24846
303,2020-9-6-1-8-57-41909,3,-4324,-15512,-1624,-4080,2492,-990
304,2020-9-6-1-8-57-42216,1,-6284,-14080,-9232,-3440,-3168,702
305,2020-9-6-1-8-57-42235,2,3676,-14732,-1592,-3440,-2329,-6683
306,2020-9-6-1-8-58-42315,4,1160,-13192,6576,-3936,7118,-1840
307,2020-9-6-1-8-58-42411,3,-2352,-15936,-2516,-4048,-3023,-1104
308,2020-9-6-1-8-58-42716,1,-4016,-7280,-10012,-3440,-1984,872
309,2020-9-6-1-8-58-42737,2,-1844,-18568,-340,-3424,4159,-1282
310,2020-9-6-1-8-58-42816,4,3872,-14368,14004,-3936,-7056,-5223
311,2020-9-6-1-8-58-42912,3,-472,-14796,516,-4048,-3798,-13564
312,2020-9-6-1-8-58-43218,1,820,-30848,-30800,-3456,-32768,-6542
313,2020-9-6-1-8-58-43239,2,200,-16728,-1548,-3424,512,698
314,2020-9-6-1-8-59-43320,4,-1112,-32768,-2920,-3968,32767,-18930
315,2020-9-6-1-8-59-43415,3,-1320,-16812,-216,-4048,-87,-459
316,2020-9-6-1-8-59-43720,1,-10516,-11708,-11256,-3408,23522,5999
317,2020-9-6-1-8-59-43742,2,5600,-16448,-10816,-3408,-3508,3976
318,2020-9-6-1-8-59-43823,4,4268,-9328,13476,-3952,-7622,7553
319,2020-9-6-1-8-59-43918,3,516,-16744,-2536,-4032,-3101,2720
320,2020-9-6-1-8-59-44224,1,-10648,-12800,-6848,-3456,8729,3446
321,2020-9-6-1-8-59-44244,2,140,-16872,52,-3440,-233,-1307
322,2020-9-6-1-9-0-44324,4,796,-15180,8136,-3952,-16593,5965
323,2020-9-6-1-9-0-44420,3,5276,-9988,2236,-4064,11529,4878
324,2020-9-6-1-9-0-44725,1,-26568,-21492,6476,-3456,-7675,11034
325,2020-9-6-1-9-0-44745,2,2412,-18936,-172,-3424,-2734,4557
326,2020-9-6-1-9-0-44829,4,688,-21980,4868,-4000,-1774,1745
327,2020-9-6-1-9-0-44922,3,-5508,-16824,1900,-4032,-4798,1142
328,2020-9-6-1-9-0-45225,1,-3832,-9940,-8284,-3424,-6735,7691
329,2020-9-6-1-9-0-45248,2,2980,-15052,-2044,-3440,-830,3109
330,2020-9-6-1-9-1-45328,4,1848,-12760,8820,-3968,4098,2068
331,2020-9-6-1-9-1-45422,3,-1824,-15964,-2652,-4064,683,2382
332,2020-9-6-1-9-1-45728,1,-5908,-8208,-17784,-3456,10064,-11124
